,question,answers
0,What are the differences between 100 Experiments for Industry (100E4I) and 100 Experiments for Research (100E4R),"



 
100E4I
100E4R



Collaboration duration
 


9 months
 


18-24 months
 




Project duration
 


7 months
 


18-24 months
 



Who develops the AI Minimal Viable Model (MVM)?

AISG engineering team with Project Manager, AI Engineer/Mentor, AI Apprentices and supported by MLOps team.


Principle Investigator (PI) and team from A*STAR, NUS, NTU, SMU, SIT, SUSS or SUTD




 
 
Who owns the IP?
*Regardless of IP arrangements, any foreground IP resulting from the 100E will be retained for research purposes.


 
Solely owned by Project Sponsor.
 
 


 
At 30% cash contribution, IP is jointly owned (Tenants in Common) between Project Sponsor and the research institution where PI is from.
At 50% cash contribution, IP is solely owned by Project Sponsor.




 
AISG Grant


 
S$180,000.00 (includes IRC)


 
S$330,000.00 (includes IRC)




Cash & In-Kind Contributions by the Project Sponsor
 
 
 
 


 
Cash:
S$75,816 (includes IRC & GST)
 
 
 
In-Kind (manpower):
Minimum S$126,000.00


 
Cash:
Minimum 30%: S$99,000.00
IRC: stated by research institution
GST: Prevailing rate

In-Kind (manpower):
Minimum S$231,000.00




 
Which party receives the AISG grant and the cash contribution?


 
AISG.
Assemble the AI engineering team


 
PI.
Hire research and engineering team




IRC:  Indirect Research Costs "
1,What are the differences between 100 experiments for industry (100E4I) and 100 experiments for research (100E4R),"100E4I
100E4R



Duration of cooperation



9 months



18-24 months





Project duration



7 months



18-24 months




Who develops the minimum viable AI model (MVM)?

AISG Engineering Team with Project Manager, AI Engineer/Mentor, AI Students and MLOps team support.


Principal Investigator (PI) and team from A*STAR, NUS, NTU, SMU, SIT, SUSS or SUTD






Who owns the IP?
* Regardless of intellectual property agreements, any front end intellectual property obtained from 100E will be retained for research purposes.



Belongs exclusively to the Project Sponsor.





At a 30% cash down payment, the IP is jointly owned (joint tenants) by the Project Sponsor and the research institution from which the PI hails.
With a 50% cash contribution, the IP belongs exclusively to the Project Sponsor.





AISG Grant



SGD 180,000 (including IRC)



SGD 330,000 (including IRC)




Cash and in-kind contributions from the project sponsor







Cash:
S$75,816 (including IRC and GST)



In-kind (labor):
Minimum SGD 126,000.00



Cash:
Minimum 30%: SGD 99,000.00.
IRC: Claimed by a research institution.
GST: current rate

In-kind (labor):
Minimum SGD 231,000.00





Which party receives the AISG grant and cash contribution?



AISG.
Assemble a team of AI engineers



PI.
Hire a team of researchers and engineers




IRC: indirect research costs"
2,How does an organisation apply for the 100 Experiments (100E)?,"
AISG will provide the templates for an organisation to submit a proposal.
The proposal will be evaluated on:

Is it an AI use case?
Does the proposed AI solution create substantial business value or impact for the organisation and its stakeholders (employees, customers, partners, investors, etc)?
Is a commercial off-the-shelf solution available?
Is the AI technology available to produce the outcomes that the organisation expects?
Can the AI model(s) be developed within 7 months or 18 to 24 months?
Are there relevant and sufficient annotated data to train the AI model(s)?

 
Only companies with IT/R&D/Engineering teams in Singapore will be considered. "
3,How does an organization apply for the 100 Experiment (100E)?,"AISG provides templates for organizations to submit proposals.
Proposals will be evaluated for:

Is this an AI use case?
Will the proposed AI solution create significant business value or impact for the organization and its stakeholders (employees, customers, partners, investors, etc.)?
Are commercial off-the-shelf solutions available?
Can AI technologies be used to produce the outcomes organizations expect?
Can you develop an AI model in 7 months or 18-24 months?
Do you have relevant and sufficient annotation data to train your AI model?


Only companies with an IT/R&D/engineering team in Singapore will be considered."
4,What are my responsibilities as a Project Sponsor?,"
To ensure a successful outcome from the 100E project, Project Sponsors are expected to have the following:

A clear problem statement and objective
Active contribution from the 3 key roles (Product Owner, Project Lead, Technical Lead)
Be able to provide the required datasets and
Be able to take over the solution for integration and deployment
 "
5,What are my responsibilities as a project sponsor?,"To ensure the success of the 100E project, project sponsors must have the following:

A clear problem statement and objective
Active contribution of the 3 key roles (Product Owner, Project Lead, Technical Lead)
Be able to provide the required datasets and
Be able to take control of the solution for integration and deployment"
6,Can I have AI apprentices on my project?,"
AI apprentices will be assigned for all 7-month 100E-Industry project. 
AI apprentices together with the AISG project manager and AI engineer/mentor from the AISG engineering team are also made available to the PI for the 18 to 24-month 100E-Research project. "
7,Can I have AI trainees in my project?,"AI Apprentices are assigned to all 100E-Industry projects of 7 months.
AI Apprentice is also available for his PI for 18-24 months 100E-Research project with AISG Project Manager and AI Engineer/Mentor on his AISG Engineering team."
8,Who can be the Principal Investigator (PI) or Co- Principal Investigator (Co-PI)?,"
The 100E PI (and Co-PI) has to be a full-time employee from an autonomous university or A*STAR. Full time is defined as at least 9 months of service a year or 75% appointment.
It is preferred that either the PI or Co-PI has research expertise in the required AI technology and/or technique. "
9,Who can be a Principal Investigator (PI) or Co-Principal Investigator (Co-PI)?,"The 100E PI (and Co-PI) must be a full-time employee of an autonomous university or A*STAR. Full-time is defined as at least 9 months of service per year or 75% appointment.
It is preferred that the PI or Co-PI have research experience in the required AI technology and/or technique."
